no [875]
kare [7]
karera [7]
kora [7]
kurete [7]
mae [7]
mite [7]
mochiron [7]
nado [7]
nantoka [7]
otoko [7]
riyū [7]
sake [7]
shirei [7]
shitte [7]
son [7]
sōin [7]
tasukaru [7]
toppa [7]
tōrida [7]
wakatteru [7]
wanai [7]
yōna [7]
zenbu [7]
ōgata [7]
ōo [7]
aitsu-ra [6]
arya [6]
atta [6]
atte [6]
chigau [6]
chimau [6]
chotto [6]
chō [6]
dekinē [6]
donna [6]
dzume [6]
ei [6]
eranda [6]
fu~tsu [6]
gaki [6]
ha [6]
hanashite [6]
happō-on [6]
heningu [6]
hinan [6]
hodo [6]
ika [6]
ikeru [6]
ikite [6]
ireba [6]
ittan [6]
jikan [6]
kagiri [6]
kai [6]
kidō [6]
kimi [6]
koi [6]
koitsu-ra [6]
kotchi [6]
kurai [6]
maruko [6]
mattaku [6]
mirai [6]
mita [6]
nasai [6]
nigeru [6]
omaetachi [6]
onaji [6]
otōsan [6]
rareta [6]
rittai [6]
saigo [6]
senshi [6]
sentō [6]
shika [6]
shinai [6]
shinyō [6]
shirenai [6]
shiru [6]
shitai [6]
shōjiki [6]
soitsu [6]
sonnani [6]
sorede [6]
tatakau [6]
temē [6]
tsuite [6]
tsumari [6]
ude [6]
uooo [6]
wakaru [6]
yahari [6]
yatsuda [6]
ahahaha [5]
anna [5]
arimasu [5]
atarashī [5]
betsuni [5]
bun [5]
chimatta [5]
daijōbu [5]
dete [5]
firu [5]
gurai [5]
hanase [5]
hanashita [5]
heishi-tachi [5]
hora [5]
ikiro [5]
imada [5]
ite [5]
itteru [5]
i~tsu [5]
jinsei [5]
kabe-gai [5]
kega [5]
kenpeidan [5]
kondo [5]
korekara [5]
korosa [5]
kowasa [5]
kunren [5]
kāchan [5]
ma [5]
madeda [5]
makaseta [5]
mamoru [5]
mamotte [5]
maria [5]
miru [5]
mitaina [5]
monda [5]
motto [5]
murida [5]
naniyori [5]
nigete [5]
omaega [5]
omaeha [5]
ryōkai [5]
saiaku [5]
sei [5]
seikō [5]
shikanē [5]
shinpei [5]
shitagatte [5]
shutsugen [5]
sonzaida [5]
sōchi [5]
sōgū [5]
takai [5]
tasukatta [5]
tatakatte [5]
toriaezu [5]
tsu [5]
tsudzukeru [5]
tsudzukete [5]
tsuini [5]
tōri [5]
uaa [5]
uaaa [5]
yappari [5]
yare [5]
yokatta [5]
yose [5]
yōda [5]
ē [5]
ōinaru [5]
ōkina [5]
— [5]
anzen [4]
arienai [4]
asoko [4]
atama [4]
buji [4]
chanto [4]
chika [4]
chikai [4]
chikaku [4]
chōdo [4]
chōsa-hei-tachi [4]
doa [4]
dōiu [4]
emono [4]
endan [4]
eren-tachi [4]
gen [4]
haitte [4]
hanji-san [4]
hima [4]
himei [4]
hiraku [4]
hito-tachi [4]
hitomazu [4]
hontō [4]
hoshī [4]
hōkō [4]
ichi [4]
igai [4]
ikikata [4]
ikitai [4]
ikuzo [4]
inē [4]
jinkei [4]
kako [4]
kakunin [4]
kangaeru [4]
kata [4]
kateru [4]
kazoku [4]
kedo [4]
keikai [4]
kemono [4]
kiita [4]
kimochi [4]
kokoro [4]
konkai [4]
konnani [4]
kono-te [4]
korosu [4]
korya [4]
kotoba [4]
kotodaro [4]
kotona [4]
kowashi [4]
ku [4]
kubi [4]
kuchi [4]
kureru [4]
kyojin-tachi [4]
kyōkan [4]
kyōryoku [4]
kyū [4]
kāsan [4]
kō [4]
kōgeki [4]
kōka [4]
kōsan [4]
maruseru [4]
mazu [4]
mazui [4]
monooto [4]
moshika [4]
mukashi [4]
naichi [4]
naku [4]
naranai [4]
natteru [4]
ndarou [4]
netsu [4]
nichibotsu [4]
nichijō [4]
ninmu [4]
nnara [4]
nō [4]
oboete [4]
ochita [4]
ochitsuke [4]
oku [4]
omaeda [4]
omoide [4]
onna-gata [4]
oreniha [4]
osoraku [4]
otonashiku [4]
ou [4]
pēru [4]
ragako [4]
rarete [4]
sae [4]
sagatte [4]
sakusen [4]
sakuteki [4]
sarawa [4]
shikata [4]
shinakute [4]
shinde [4]
shiranakatta [4]
shirenga [4]
shisai [4]
shitteru [4]
shunkan [4]
shōgeki-on [4]
shōnin [4]
shūi [4]
so [4]
sonzai [4]
soryā [4]
sudeni [4]
sukoshi [4]
sumanai [4]
sureba [4]
surya [4]
susume [4]
sōbi [4]
sōiya [4]
tamena [4]
tanomu [4]
tari [4]
tashikani [4]
tasukeru [4]
tasukete [4]
tasū [4]
torimodosu [4]
toru [4]
tsugu [4]
tsukatte [4]
tsumorida [4]
ue [4]
umaku [4]
uru [4]
usodaro [4]
wakaran [4]
wanē [4]
watashiniha [4]
watashitachiha [4]
yaiba [4]
yamete [4]
yappa [4]
yarou [4]
ya~tsu [4]
yoshi [4]
yotte [4]
yumiru-sama [4]
yōi [4]
ūu [4]
5-nen [3]
anshin [3]
arawareta [3]
arimasen [3]
atari [3]
atchi [3]
atchi-gawa [3]
bokuraha [3]
busu [3]
buttai [3]
chikushō [3]
cho [3]
chūō [3]
da [3]
daijōbuka [3]
dakkan [3]
dama [3]
damatte [3]
dano [3]
darekaga [3]
deka [3]
dekirudake [3]
do [3]
dokoda [3]
dokoni [3]
dōda [3]
dōka [3]
dōmo [3]
dōshite [3]
emi [3]
erumiha-ku [3]
fu [3]
fuenone [3]
fumoto [3]
fumu [3]
futatabi [3]
futsū [3]
fuzakenja [3]
garu [3]
gasu [3]
gua~tsu [3]
hana [3]
hanasenai [3]
hannesu-san [3]
hataraki [3]
hatte [3]
hayai [3]
he~tsu [3]
hida [3]
hide [3]
himitsu [3]
hisshi [3]
hitobito [3]
hitotsu [3]
hōkoku [3]
ichizoku [3]
ieba [3]
ikenai [3]
imashita [3]
imi [3]
inakatta [3]
iroiro [3]
isoide [3]
issai [3]
isseini [3]
itsu [3]
iyada [3]
izure [3]
janēdaro [3]
jigoku [3]
jitsuwa [3]
josei [3]
jōdan [3]
jōkan-tachi [3]
jōseki [3]
jūbun [3]
jūyōna [3]
kaeri [3]
kaerou [3]
kaeshite [3]
kaite [3]
kake [3]
kakete [3]
kakoma [3]
kakugo [3]
kankei [3]
kanshi [3]
kantan [3]
kari [3]
katai [3]
kataki [3]
kenka [3]
ketchaku [3]
kibun [3]
kiite [3]
kika [3]
kikai [3]
kiku [3]
kimeru [3]
kimeta [3]
kiru [3]
kke [3]
kochira [3]
konakereba [3]
koroshi [3]
kowai [3]
kunren-hei [3]
kuroruba-ku [3]
kuse [3]
kuso~tsu [3]
kutta [3]
kyodai-ju [3]
kyojin-domo [3]
kyojinda [3]
kyōmi [3]
kōdō [3]
machi [3]
madada [3]
make [3]
maketa [3]
mamora [3]
matada [3]
mateyo [3]
mawari [3]
mieru [3]
mise [3]
mitai [3]
mitaida [3]
mitsukete [3]
moburitto-bun [3]
modotte [3]
moji [3]
mokuhyō [3]
moraeru [3]
motomoto [3]
mottomo [3]
mune [3]
muri [3]
naifu [3]
nakama [3]
nanaba-san [3]
nandemoī [3]
nandodemo [3]
nanidato [3]
nannani [3]
naranē [3]
nazeda [3]
ni~tsu [3]
nomi [3]
nōryoku [3]
oite [3]
okashī [3]
okujō [3]
omoi [3]
omoidasu [3]
omotte [3]
omotteta [3]
omouga [3]
omowa [3]
onajide [3]
otte [3]
rare [3]
rarenai [3]
rareru [3]
rashado [3]
rei [3]
reonhāto [3]
rifuto [3]
riko [3]
sagare [3]
sagasu [3]
saizen [3]
sankai [3]
sarani [3]
semaru [3]
seta [3]
shijō [3]
shikka [3]
shikkari [3]
shimatta [3]
shinja [3]
shinjitsu [3]
shinnyū [3]
shitteta [3]
shokuryō [3]
shuppatsu [3]
shūchū [3]
shūfuku [3]
sokudo [3]
somosomo [3]
sonotame [3]
soretomo [3]
sotchi [3]
soto [3]
sugiru [3]
suki [3]
sōzō [3]
taiki [3]
tairyoku [3]
tairyō [3]
tatta [3]
teikō [3]
temē-ra [3]
tero [3]
tobira [3]
tobu [3]
toke [3]
tokutei [3]
toro [3]
torosuto-ku [3]
totte [3]
tsugi [3]
tsugō [3]
tsuita [3]
tsukamare [3]
tsukamatta [3]
tsukarete [3]
tsuke [3]
tsukete [3]
tsuki [3]
tsuku [3]
tsukutta [3]
tsumi [3]
tsumorina [3]
tsutaero [3]
tōzen [3]
ua~tsu [3]
uchi [3]
ugoite [3]
ugokenai [3]
ugokeru [3]
umareta [3]
umarete [3]
unaji [3]
utagai [3]
wakarudaro [3]
wakatte [3]
wari [3]
yabura [3]
yakusoku [3]
yame [3]
yametē [3]
yara [3]
yokuwakaranai [3]
yoyū [3]
zannendatta [3]
zawameki [3]
zensen [3]
zuibun [3]
ēi [3]
īkara [3]
ōku [3]
1-biki [2]
1-tai [2]
10-ban [2]
104-kisei-tachi [2]
3-nen [2]
5-jikan [2]
abare [2]
achiragawa [2]
aenai [2]
aeru [2]
aitai [2]
anawofusagu [2]
annai [2]
arigato [2]
aruite [2]
asa [2]
ashita [2]
ateru [2]
atoda [2]
atode [2]
atosukoshi [2]
attara [2]
attatte [2]
a~tsua [2]
a~tsuaitsu [2]
a~tsuyumiru [2]
a~tsuā [2]
bakana [2]
baki [2]
bakkari [2]
basho [2]
batsuna [2]
berutoru-san [2]
betsu [2]
bichiku [2]
boroboroda [2]
bubun [2]
buki [2]
bukkorosu [2]
bōei-sen [2]
chakuchi-on [2]
chatta [2]
chatte [2]
chigatte [2]
chigaudaro [2]
chiiki [2]
chikadzuita [2]
chikadzuite [2]
chiten [2]
chokusetsu [2]
chottomatte [2]
chōsa-hei-jōda [2]
dai [2]
daijōbuda [2]
dase [2]
dasu [2]
debanda [2]
deke [2]
deki-sō [2]
dekimasu [2]
dekita [2]
denrei [2]
dore [2]
dotchi [2]
dotchida [2]
dōdarou [2]
dōki [2]
dōmitemo [2]
dōna [2]
dōnika [2]
dōshi [2]
eien [2]
enai [2]
erabu [2]
ere [2]
erenga [2]
etto [2]
fukaku [2]
fusageru [2]
fusagu [2]
fushō [2]
futsūnara [2]
fuyasu [2]
fū [2]
gake [2]
ganbatte [2]
ganbōna [2]
ganē [2]
gata [2]
gatte [2]
genjō [2]
gerugā-san [2]
go [2]
gohan [2]
gohoggoho~tsu [2]
goho~tsu [2]
gomennasai [2]
gu [2]
guha~tsu [2]
gōmon [2]
haa~tsu [2]
hahen [2]
hahhai [2]
haiboku [2]
hajimatta [2]
hajimeru [2]
hakobu [2]
hakushu [2]
hanaiki [2]
hanaseyo [2]
hanashida [2]
hanashikata [2]
hanasu [2]
hanchō [2]
handan [2]
hanji-bun [2]
hannesu-tachi [2]
hara [2]
hashitta [2]
hassei [2]
hatarakubeki [2]
hayashi [2]
hazuna [2]
heichō [2]
heiki [2]
hen [2]
henka [2]
hifu [2]
hitogoroshi [2]
hitsuyōda [2]
hitsuyōna [2]
hi~tsu [2]
hodoite [2]
hokaku [2]
honrai [2]
honto [2]
hyōka [2]
ichido [2]
iitai [2]
iji [2]
ikenē [2]
ikimasu [2]
ikiru [2]
ikitaika [2]
ikiyou [2]
ikkini [2]
imamade [2]
imasu [2]
ino [2]
inochigake [2]
ippo [2]
irai [2]
isogashiku [2]
isoge [2]
isshun [2]
itsuka [2]
ittadaro [2]
itteki [2]
itten [2]
itteta [2]
ittete [2]
ittē [2]
iyā [2]
jama [2]
jamawosuru [2]
janaidaro [2]
janaikara [2]
janakute [2]
janakya [2]
jare [2]
jidai [2]
jijitsu [2]
jikanganai [2]
jiki [2]
jinbutsu [2]
jisatsu [2]
jitai [2]
jitsuryoku [2]
jiyū [2]
junbi [2]
jōhatsu [2]
jōki [2]
jōtaina [2]
jūyō [2]
kabe-zoi [2]
kachi [2]
kae [2]
kaerenaku [2]
kaereru [2]
kaeseyo [2]
kaeshi [2]
kagira [2]
kaimetsu [2]
kakatte [2]
kakku [2]
kakuchi [2]
kakushō [2]
kami [2]
kamisama [2]
kan [2]
kanari [2]
kangaereba [2]
kangaero [2]
kangaeta [2]
kangaete [2]
kanjō [2]
kanojonara [2]
kanzen [2]
kanō [2]
kao [2]
karana [2]
karura [2]
kasegu [2]
kasho [2]
katei [2]
katsute [2]
katta [2]
kawari [2]
kawatta [2]
kazu [2]
kekka [2]
kekkyoku [2]
kekkō [2]
kenri [2]
keri [2]
kero [2]
kibunda [2]
kichi [2]
kikan [2]
kikanai [2]
kike [2]
kikenda [2]
kiki [2]
kikō-shu [2]
kimarida [2]
kimashita [2]
kimasu [2]
kimatteru [2]
kimitachi [2]
kinishinai [2]
kinzoku-on [2]
kinō [2]
kireru [2]
kirinukeru [2]
kitazo [2]
kodō [2]
koite [2]
kojō [2]
kokoda [2]
kon [2]
konai [2]
konnatokorode [2]
konoyo [2]
konton [2]
konīda [2]
koraete [2]
koreha [2]
koroshite [2]
kotchi-gawa [2]
kui [2]
kuma [2]
kunda [2]
kurabereba [2]
kurainara [2]
kurenai [2]
kurenē [2]
kuu [2]
kyojindatta [2]
kyori [2]
kyōi [2]
kyōkai [2]
kyūchi [2]
kyūkei [2]
kyūsoku [2]
kōhō [2]
kōsei [2]
kōshin [2]
kōtai [2]
machigatte [2]
magirekonde [2]
maite [2]
maitta [2]
makaseru [2]
maki [2]
mamori [2]
maniatta [2]
maniau [2]
marude [2]
matomona [2]
mattekudasai [2]
matteru [2]
mazuizo [2]
mechakucha [2]
meiun [2]
meshi [2]
metsubō [2]
mezashita [2]
mezasu [2]
miau [2]
miemashita [2]
mike-bun [2]
mike-san [2]
minnade [2]
mitasu [2]
mitekuru [2]
mitsukaranakatta [2]
mitē [2]
mitēda [2]
mizu [2]
moburitto-san [2]
modoru [2]
moratta [2]
moshikuwa [2]
motomeru [2]
moyō [2]
mukashikara [2]
mukatte [2]
mukau [2]
munewohatte [2]
mure [2]
musume [2]
muzukashī [2]
myōda [2]
mētoru [2]
mōichido [2]
mōnidoto [2]
mōsugu [2]
nageta [2]
nagete [2]
naidaro [2]
naidesho [2]
nakayoku [2]
nakute [2]
nandaka [2]
nandemonai [2]
nando [2]
nannanda [2]
nannotameni [2]
nannē [2]
nanpō [2]
nansei [2]
nara [2]
naran [2]
narimashita [2]
narukara [2]
nashi [2]
natchimau [2]
nazo [2]
ndesho [2]
nedayashi [2]
nero [2]
nete [2]
nida [2]
nifa [2]
nigasu [2]
nigero [2]
nigeta [2]
nishigawa [2]
nishin [2]
noda [2]
node [2]
nokosa [2]
nomenē [2]
nomu [2]
nuno [2]
oboetenai [2]
oitsuka [2]
okageda [2]
okashiku [2]
okiro [2]
okita [2]
okonawa [2]
okutte [2]
omaedatta [2]
omaenara [2]
omaeni [2]
omaeno [2]
omaerada [2]
omaerana [2]
omoimasu [2]
omoshiroi [2]
omotteru [2]
onegai [2]
onegaida [2]
ora [2]
orose [2]
oshie [2]
oshimaida [2]
osoi [2]
ossan [2]
otagai [2]
otokodaro [2]
otori [2]
otozureru [2]
owaranai [2]
owarida [2]
pan [2]
ran [2]
rauda [2]
reisu [2]
remashita [2]
retanoni [2]
retara [2]
retatte [2]
risan [2]
riyō [2]
ro [2]
rokuni [2]
ru [2]
ryō [2]
ryōiki [2]
sagashi [2]
sagattero [2]
saigobi [2]
saisho [2]
saizu [2]
sakebi [2]
sakebigoe [2]
samazamana [2]
sarasa [2]
sasageyo [2]
sasu [2]
sasuga [2]
sate [2]
seida [2]
seikatsu [2]
seikyū [2]
sekinin [2]
sekkin [2]
semete [2]
senken-tai [2]
senshina [2]
sentakushi [2]
sero [2]
seru [2]
setsumei [2]
sewa [2]
shicha [2]
shichā [2]
shigoto [2]
shihai [2]
shikanēdaro [2]
shimashita [2]
shimei [2]
shinaito [2]
shinakya [2]
shinda [2]
shinja-tachi [2]
shinji [2]
shinjiro [2]
shinjū [2]
shinzō [2]
shinē [2]
shiranga [2]
shiranēkedo [2]
shiren [2]
shiri [2]
shiritai [2]
shorui [2]
shōjo [2]
shōkaku [2]
shōmō [2]
shōrai [2]
shūrai [2]
sokoda [2]
sokode [2]
sonbō [2]
sonomama [2]
soredemo [2]
soreha [2]
sorekara [2]
sorosoro [2]
soshi [2]
sotogawa [2]
suimasen [2]
sukida [2]
suman [2]
sumanakatta [2]
sumika [2]
sun [2]
supuringā [2]
sura [2]
surukara [2]
suruto [2]
susumu [2]
suto-ku [2]
sōdaro [2]
sōdatta [2]
sōde [2]
sōna [2]
sōnan-sha [2]
sōtō [2]
sū [2]
tachiyotta [2]
tadaima [2]
tadashi [2]
taihenna [2]
taimatsu [2]
taisei [2]
taisuru [2]
tamani [2]
tamatama [2]
tameda [2]
tamerau [2]
tanjun [2]
taosa [2]
tashika [2]
tatakatteta [2]
tatakaukara [2]
tatte [2]
tayori [2]
tenaidesho [2]
tenki [2]
tetara [2]
tete [2]
tettai [2]
tetteiteki [2]
tobe [2]
tokime [2]
toku [2]
tomaru [2]
tome [2]
tomoni [2]
tore [2]
torikaeshi [2]
totsugeki [2]
totsujo [2]
totta [2]
tsue [2]
tsui [2]
tsukamu [2]
tsukanai [2]
tsukau [2]
tsukiakari [2]
tsukuse [2]
tsurai [2]
tsuresara [2]
tsuresaru [2]
tsutomeyo [2]
tsuyo [2]
tsuyoku [2]
tsūyō [2]
tta [2]
ttaku [2]
tōbatsu [2]
tōchan [2]
tōma [2]
tōtatsu [2]
ubawa [2]
ugokanai [2]
ugokanaku [2]
ugokenē [2]
ugoki [2]
ukai [2]
uke [2]
ukeire [2]
unmei [2]
uoo [2]
uragiri [2]
usodatta [2]
usona [2]
utogarudo [2]
utogarudo-jō [2]
uwaaa [2]
uyoku [2]
u~tsuu [2]
waa~tsu [2]
waiyā-on [2]
wakaranai [2]
wakaranaidaro [2]
wakaranaku [2]
wakaruga [2]
wakatten [2]
wakeda [2]
wasure [2]
wasureta [2]
watashi-ra [2]
wazawaza [2]
wazukana [2]
wa~tsu [2]
yabutta [2]
yaji [2]
yakusokuda [2]
yakutatazu [2]
yamen [2]
yameta [2]
yan [2]
yareru [2]
yasuku [2]
yasuma [2]
yasumu [2]
yattenda [2]
yatteru [2]
yatteta [2]
yatto [2]
yokoshi [2]
yoso [2]
yukiyama [2]
yukkuri [2]
yōsu [2]
yōyaku [2]
zahyō [2]
zen [2]
zenshin [2]
~tsuiya [2]
īnoni [2]
ītte [2]
ōi [2]
〜da [2]
-kun [1]
1-jikan [1]
1-kasho [1]
1-po [1]
1-pon [1]
1-rida [1]
1-ridearu [1]
1-shūkan [1]
1-shūkan-go [1]
1-tō [1]
10-ban-nai [1]
100-nen [1]
104-kidakara [1]
12-bu [1]
1tsu [1]
2-kai [1]
2-kai-meda [1]
2-mei [1]
2-pon [1]
2-rida [1]
2tsu [1]
2tsuda [1]
3-ji [1]
3-mei [1]
3-nenkan [1]
3-nichi-bun [1]
3-ningumi [1]
3-ridarou [1]
3ttsu [1]
4-jikan [1]
4-ki [1]
4-ri [1]
4tsu [1]
5-bu-go [1]
5-nen-me [1]
5-nenkan [1]
5-ridarou [1]
6-nen [1]
60-nen [1]
9-jikan [1]
9-tai [1]
aa~tsu [1]
abaremakuru [1]
abareru [1]
abarete [1]
abunakattaro [1]
addare [1]
aeri [1]
afureta [1]
agero [1]
ageta [1]
ago [1]
aha [1]
ahaha [1]
ahaha~tsu [1]
ahhai [1]
aho [1]
ai [1]
aida [1]
aiteda [1]
ajiwai [1]
aka [1]
akarui [1]
akashita [1]
akewatasubekina [1]
akiraka [1]
akiramenē [1]
akiramero [1]
akire-gao [1]
akiya [1]
aku [1]
akuma [1]
akuma-me [1]
akumu [1]
amai [1]
amari [1]
amarini [1]
amata [1]
ammada [1]
amu [1]
an [1]
anaake [1]
anatada [1]
anatagata [1]
anatanomikata [1]
anatanomikatadakara [1]
andaro [1]
angai [1]
aniki [1]
aninara [1]
anjite [1]
anka [1]
anmari [1]
annafūni [1]
annei [1]
anoyo [1]
anta-ra [1]
anta-tachi [1]
antara [1]
anzenna [1]
aragai [1]
arai [1]
arakata [1]
arasoi [1]
arawaremashita [1]
arawarenaku [1]
arawareru [1]
arawashite [1]
areba [1]
areda [1]
arigatōgozaimasu [1]
arimasendeshita [1]
arimashita [1]
arinomama [1]
arudaro [1]
arudarou [1]
aruga [1]
arui [1]
aruiwa [1]
arukara [1]
arukenai [1]
arukimawatteru [1]
arunara [1]
arurashī [1]
arutoomoimasu [1]
aserazu [1]
ashiato [1]
ashida [1]
asoba [1]
asobu [1]
assono [1]
assō [1]
atae [1]
ataete [1]
atatta [1]
atchotto [1]
atete [1]
atodakara [1]
atodatta [1]
atomodori [1]
atosukoshina [1]
atotori [1]
atsukai [1]
atsumeru [1]
atsumeyou [1]
attaga [1]
attakara [1]
attaro [1]
atteru [1]
attoiumada [1]
au [1]
awa [1]
awareda [1]
awasete [1]
awatete [1]
ayamaru [1]
ayamatta [1]
ayamatte [1]
ayashi [1]
ayatsutte [1]
ayauku [1]
azukari [1]
a~tsuaitsuda [1]
a~tsuano [1]
a~tsuda [1]
a~tsuiya [1]
a~tsuorenchi [1]
b [1]
ba [1]
baai [1]
baiijō [1]
bakadakarada [1]
bakadomoga [1]
bakaka [1]
bakamonga [1]
bakanishiteru [1]
bakarashiku [1]
bakari [1]
bakaridakara [1]
bakarideshite [1]
bakkada [1]
bakkajanēno [1]
ban-san [1]
banmeshi [1]
bansan [1]
barabara [1]
barete [1]
barikēdo [1]
batsu [1]
benshō [1]
bijo [1]
bimi [1]
bokutachi [1]
bosatto [1]
botsugo [1]
bujidatta [1]
bujideareba [1]
bujina [1]
bukkoroshiteyaru [1]
bukkowase [1]
bunretsu [1]
buntai [1]
buraun [1]
burausu [1]
buri [1]
bussōna [1]
busō-hei [1]
busōda [1]
butai [1]
butsukatte [1]
butsuke [1]
butsuketa [1]
butte [1]
bu~tsuahahaha [1]
bō [1]
chansu [1]
chibi [1]
chibina [1]
chie [1]
chigai [1]
chigainai [1]
chigauka [1]
chigira [1]
chigireru [1]
chiikide [1]
chijō [1]
chikadzuke [1]
chikadzukude [1]
chikainode [1]
chikarada [1]
chikaraippai [1]
chikaranokagiri [1]
chikashitsu [1]
chikashitsuda [1]
chikatta [1]
chikei [1]
chikeinara [1]
chimaeba [1]
chino [1]
chire [1]
chitte [1]
chizu [1]
chi~tsu [1]
chokugeki [1]
chokuzen [1]
chīsai [1]
chōdaina [1]
chōshi [1]
chōshinara [1]
chū [1]
chūcho [1]
chūi [1]
chūkan [1]
chūsei [1]
chūtohanpana [1]
chūton [1]
chūton-hei [1]
daddare [1]
daga-sō [1]
daibu [1]
daiji [1]
daijidatta [1]
daijōbudakara [1]
daijōbudayo [1]
daini [1]
daishō [1]
daitai [1]
daitaina [1]
dakarakoso [1]
dakedashi [1]
dakede [1]
dakedo [1]
dakeja [1]
dakenanoni [1]
dakenara [1]
damare [1]
damaru [1]
damaseru [1]
damattenaide [1]
dame [1]
damedaro [1]
damena [1]
damenara [1]
danchō-san [1]
dangen [1]
dansei [1]
dareda [1]
daredearou [1]
daremoinai [1]
darena [1]
darenidemo [1]
darenimo [1]
dareshimo [1]
dari [1]
daro [1]
dashinagara [1]
dashinuku [1]
daso [1]
dasshiyou [1]
dasshutsu [1]
dato [1]
datta [1]
dattara [1]
dazunara [1]
deatta [1]
deau [1]
deddekinai [1]
deki [1]
dekimasen [1]
dekin [1]
dekinaidaro [1]
dekinēdaro [1]
