no [2354]
hanase [4]
hanashite [4]
hanji-bun [4]
hason [4]
hassei [4]
hazunanoni [4]
ha~ā [4]
heiryoku [4]
heitan [4]
heiwa [4]
hidoi [4]
hifu [4]
higai [4]
himitsu [4]
hisshi [4]
hitode [4]
hitomazu [4]
hobo [4]
hokyūhei-tachi [4]
honmono [4]
hosa [4]
hoshō [4]
hōkoku-sho [4]
hōkō [4]
iin [4]
iitai [4]
ikanai [4]
ikita [4]
ikitai [4]
ikō [4]
irukara [4]
ishiki [4]
isseini [4]
itatte [4]
itsuka [4]
jiko [4]
jōtai [4]
kaibō [4]
kakatta [4]
kakatte [4]
kakujitsu [4]
kamisama [4]
kankyū-hin [4]
kankō [4]
kansei [4]
kanshu-hei [4]
kanzen [4]
keirei [4]
kekkyoku [4]
ketsuron [4]
kettei [4]
kichōna [4]
kika [4]
kiki [4]
kikoeta [4]
kikō-shuda [4]
kimatte [4]
kinkyū [4]
kirushutain [4]
kodomo-tachi [4]
konki [4]
kono-te [4]
konran [4]
korosareru [4]
korosenai [4]
kotae [4]
kotchida [4]
kotei-hō [4]
kotodearu [4]
kubi [4]
kuzu [4]
kyōmi [4]
kyūsho [4]
kōei [4]
kōkei [4]
kōshite [4]
kōsoku [4]
machigattenai [4]
majikayo [4]
makaseru [4]
makaseta [4]
make [4]
mamotte [4]
mane [4]
matamo [4]
matsu [4]
mattekudasai [4]
mawaru [4]
mazuwa [4]
meiwaku [4]
menomaede [4]
migoroshi [4]
mimi [4]
minami [4]
minamigawa [4]
minasan [4]
misete [4]
mitaina [4]
mochiage [4]
morashi [4]
moratta [4]
mu [4]
mukui [4]
mushiro [4]
mu~tsu [4]
mētoru-kyū [4]
nage [4]
naiga [4]
nanishini [4]
nao [4]
naran [4]
naruhodo [4]
ndeshou [4]
nerai [4]
netsu [4]
nioi [4]
nodakara [4]
nokoru [4]
oikomu [4]
okite [4]
okurete [4]
omo-ra [4]
omoenē [4]
omotteru [4]
omottetakedo [4]
omoukedo [4]
onaka [4]
osoroshi-sa [4]
otoshite [4]
rarenakatta [4]
renchū [4]
renraku [4]
reonhāto [4]
rereba [4]
sa-geru [4]
sagyō [4]
sake [4]
saki [4]
seifu [4]
seikaku [4]
seikō-ritsu [4]
seitai [4]
sekkaku [4]
semai [4]
senjutsu [4]
sesshoku [4]
settoku [4]
sezu [4]
shikanē [4]
shikata [4]
shimaru [4]
shinaikara [4]
shinakereba [4]
shineru [4]
shingeki [4]
shinjitsu [4]
shinrai [4]
shinro [4]
shirenaikedo [4]
shitaga [4]
shitagau [4]
shitatte [4]
shitomeru [4]
shōgeki-on [4]
shōkan [4]
shūchū [4]
sorezore [4]
soshitsu [4]
sotchi [4]
sugoi [4]
sukunakutomo [4]
sumu [4]
sun [4]
sutohesu-ku [4]
su~tsu [4]
sōgū [4]
sōrō [4]
sū [4]
tachimachi [4]
tadachini [4]
tadashi [4]
tadoru [4]
tairyō [4]
taishite [4]
takusa [4]
tantō [4]
taosu [4]
tate [4]
tatemono [4]
tatoe [4]
teido [4]
tenteki [4]
tokkuni [4]
torawarete [4]
tou [4]
tsugōnoī [4]
tsui [4]
tsuke [4]
tsukete [4]
tsuki [4]
tsukusa [4]
tsukusu [4]
tsuneni [4]
tsuyoku [4]
ttaku [4]
tōri [4]
tōrida [4]
tōsu [4]
tōyō [4]
uaaā~tsu [4]
uketa [4]
umekigoe [4]
uyoku [4]
wakaran [4]
wakarudarou [4]
wanaku [4]
wazawaza [4]
yaku [4]
yakunitatsu [4]
yama [4]
yari [4]
yarikata [4]
yokumo [4]
yā [4]
yūsen [4]
zenmetsuda [4]
zenpō [4]
zentai [4]
zenzen [4]
zokkō [4]
zuibun [4]
īga [4]
ītte [4]
ōkī [4]
10-senchi [3]
2tsu [3]
4-nen [3]
7-ri [3]
7-tai [3]
aaaā [3]
aeru [3]
ahahaha [3]
aha~tsu [3]
aku [3]
anatagata [3]
anzenna [3]
arakajime [3]
aratana [3]
arayuru [3]
atsumeru [3]
a~tsuoi [3]
bakanisuru [3]
bakari [3]
bakemono-me [3]
bakuhatsu-on [3]
borisu [3]
bujida [3]
buka [3]
butaida [3]
buttobashitai [3]
buttobashite [3]
bō [3]
chansuda [3]
chatta [3]
chigatte [3]
chikadzuku [3]
chinamini [3]
chokusetsu [3]
chōhō-in [3]
chōkyori [3]
chōshi [3]
chūkan [3]
chūmoku [3]
daibu [3]
daichi [3]
daijina [3]
daijōbudayo [3]
daitai [3]
dakedakara [3]
dakedo [3]
damare [3]
dan [3]
danin [3]
dekitara [3]
denai [3]
denrei [3]
derukara [3]
do [3]
dochira [3]
doke [3]
dotto [3]
dōdarou [3]
dōnika [3]
dōsureba [3]
ei [3]
eikō [3]
eiyū [3]
etai [3]
fukanōda [3]
fukanōdatta [3]
fukaseba [3]
fuku [3]
fumoto [3]
fure [3]
fuzakeru [3]
ganbare [3]
genin [3]
genjitsu [3]
gimon [3]
gokuhi [3]
gomenda [3]
gūzen [3]
hae [3]
hahahaha [3]
haita [3]
hakken [3]
hakobi [3]
hanarero [3]
hanbun [3]
hangeki [3]
hannin [3]
happa [3]
hara [3]
hasande [3]
hashira [3]
hassō [3]
hataraki [3]
hatsu [3]
hazudaga [3]
heisō [3]
hidoku [3]
hihei [3]
hike [3]
hikitsukeru [3]
hiku [3]
hippatte [3]
hirachi [3]
hirou [3]
hitsuyōnara [3]
hodoita [3]
honjitsu [3]
honkida [3]
honshitsu [3]
hontai [3]
honō [3]
hī [3]
hōda [3]
ien [3]
igyōda [3]
ikani [3]
ikenē [3]
ikeru [3]
ikinari [3]
ikinobiru [3]
ikōze [3]
imada [3]
imanara [3]
imanotokoro [3]
imasara [3]
inakatta [3]
inochigoi [3]
inujini [3]
ippo [3]
irai [3]
irete [3]
iri [3]
isshunda [3]
itadakimasu [3]
itara [3]
itaru [3]
ite~tsu [3]
itten [3]
ivu~an [3]
iwanai [3]
iza [3]
ji [3]
jibun-tachi [3]
jigokuda [3]
jiki [3]
jinei [3]
jiten [3]
jitsugen [3]
jōdan [3]
jōi [3]
jōki [3]
jūbundarou [3]
jūnin-tachi [3]
kabe-jō [3]
kaese [3]
kaettara [3]
kagi [3]
kagu [3]
kaihei [3]
kaihi [3]
kaimetsu [3]
kakariin [3]
kakuritsu [3]
kakushin [3]
kakushō [3]
kakutō-jutsu [3]
kan [3]
kanari [3]
kanbu [3]
kangaereba [3]
kanji [3]
kanjinai [3]
kanjita [3]
kanri [3]
kase [3]
kataki [3]
katame [3]
kateida [3]
kateru [3]
kayo [3]
kemuri [3]
kengen [3]
kenpei-tachi [3]
kenpeidanda [3]
ketsu [3]
ketsudan [3]
kidzuita [3]
kidō-jutsu [3]
kieta [3]
kikanai [3]
kikoenai [3]
kimashita [3]
kimatteru [3]
kimenē [3]
kimete [3]
kin [3]
kisoku [3]
kitchiri [3]
kitte [3]
kiwamete [3]
kiya [3]
kizuki [3]
ko-tachi [3]
koeru [3]
komarukara [3]
konakatta [3]
konnatokorode [3]
konoaida [3]
korosareta [3]
koroshiteyaru [3]
korosou [3]
koshō [3]
kotaete [3]
kotaisa [3]
kotonara [3]
kotsu [3]
kuchō [3]
kunren-dōri [3]
kurainara [3]
kureba [3]
kuremashita [3]
kurenai [3]
kureru [3]
kurushimu [3]
kusogaki [3]
kutsujoku [3]
kuzureru [3]
kyodai-ju [3]
kyoten [3]
kyōryokuna [3]
kōda [3]
kōi [3]
kōida [3]
kōkan [3]
kōri [3]
machigai [3]
madada [3]
madamada [3]
majime [3]
makasete [3]
maki [3]
mamada [3]
mangaichi [3]
mazuizo [3]
megami [3]
meisho [3]
miau [3]
michibiku [3]
midori [3]
miete [3]
migite [3]
mina [3]
minamiku [3]
mirya [3]
mitomete [3]
mitē [3]
mobu [3]
mochiron [3]
mokutekichi [3]
monku [3]
monode [3]
motomoto [3]
mudajini [3]
mukae [3]
mukaeta [3]
mukankei [3]
muri [3]
mētoru [3]
nagare [3]
naidaro [3]
naishi [3]
nakattakarada [3]
nakereba [3]
nakku [3]
nami [3]
nandemoī [3]
nandomonandomo [3]
nanidato [3]
nanishiteru [3]
nanite [3]
naniyori [3]
nanode [3]
naranē [3]
nareru [3]
narimasu [3]
narudarou [3]
negaimasu [3]
neraeru [3]
nigekiru [3]
nikkō [3]
nikushimi [3]
nn [3]
noboru [3]
nokku [3]
nokosa [3]
notte [3]
nuke [3]
oita [3]
oitsumerareta [3]
okonatte [3]
okure [3]
okuru [3]
omoi [3]
omoidase [3]
omoidasu [3]
omotteta [3]
omouga [3]
omowanai [3]
omowashiki [3]
onajiku [3]
oreda [3]
ori [3]
orimasu [3]
ose [3]
oshikunai [3]
osotte [3]
osou [3]
otokonoko [3]
owatta [3]
o~tsu [3]
ran [3]
rarenē [3]
rarerumonono [3]
rarete [3]
reisei [3]
remashita [3]
ridatsu [3]
rippana [3]
ru [3]
saiaku [3]
saigomade [3]
saizen-saku [3]
sakarau [3]
saketai [3]
sakida [3]
sakihodo [3]
sakkyū [3]
sanka [3]
sayū [3]
seibi [3]
seido [3]
seifuku [3]
seigyo [3]
seikai [3]
seiseki [3]
senai [3]
senpai-tachi [3]
senshi [3]
sero [3]
sewa [3]
shaberu [3]
sharetto [3]
shibō [3]
shigan [3]
shigotoda [3]
shikei [3]
shimei [3]
shimesanai [3]
shinakya [3]
shinimasu [3]
shinja [3]
shinjimae [3]
shinsoko [3]
shio [3]
shirenainoni [3]
shisai-dono [3]
shitarashī [3]
shitsubō [3]
shokuryōbusoku [3]
shori [3]
shudan [3]
shōben [3]
shōganai [3]
shōnin [3]
shūkaku [3]
sofu [3]
sonkei [3]
sonoaida [3]
sonogo [3]
sonohi [3]
sonotamenara [3]
sorehodo [3]
soreni [3]
su [3]
subetewo [3]
sukunaku [3]
sumanakatta [3]
sunzen [3]
supuringā [3]
surukara [3]
susumimasu [3]
sutesaru [3]
sōna [3]
sōzō [3]
taberu [3]
tachiagaru [3]
tachiba [3]
taete [3]
taikō [3]
takusan [3]
tamaru [3]
tameda [3]
tamena [3]
tamenara [3]
tameshite [3]
